popularity,year,rating,name,director,actors
1,2015,8.0,Bãhubali: The Beginning,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Ramya Krishnan', 'Sathyaraj']"
2,2017,8.2,Baahubali 2: The Conclusion,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
3,2014,8.1,1 - Nenokkadine,Sukumar,"['Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat']"
5,2017,8.1,Arjun Reddy,Sandeep Reddy Vanga,"['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana']"
6,2018,8.4,Rangasthalam,Sukumar,"['Ram Charan', 'Samantha Akkineni', 'Aadhi', 'Jagapathi Babu']"
7,2009,7.7,Magadheera,S.S. Rajamouli,"['Ram Charan', 'Kajal Aggarwal', 'Dev Gill', 'Srihari']"
8,2019,5.2,Saaho,Sujeeth,"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Neil Nitin Mukesh']"
9,2018,7.7,Bharat Ane Nenu,Koratala Siva,"['Mahesh Babu', 'Kiara Advani', 'Prakash Raj', 'Sarath Kumar']"
10,2006,7.9,Pokiri,Puri Jagannadh,"['Mahesh Babu', ""Ileana D'Cruz"", 'Prakash Raj', 'Nassar']"
11,2011,7.4,Dookudu,Sreenu Vaitla,"['Mahesh Babu', 'Samantha Akkineni', 'Sonu Sood', 'Kota Srinivasa Rao']"
12,2005,8.2,Athadu,Trivikram Srinivas,"['Mahesh Babu', 'Trisha Krishnan', 'Prakash Raj', 'Sonu Sood']"
13,2015,7.6,Srimanthudu,Koratala Siva,"['Mahesh Babu', 'Shruti Haasan', 'Jagapathi Babu', 'Sampath Raj']"
14,2018,7.7,Geetha Govindam,Parasuram,"['Vijay Deverakonda', 'Rashmika Mandanna', 'Subbaraju', 'Mouryaani']"
15,2018,8.5,Mahanati,Nag Ashwin,"['Keerthy Suresh', 'Dulquer Salmaan', 'Samantha Akkineni', 'Vijay Deverakonda']"
16,I) (2014,8.0,Manam,Vikram K. Kumar,"['Akkineni Nageshwara Rao', 'Nagarjuna Akkineni', 'Naga Chaitanya Akkineni', 'Samantha Akkineni']"
17,2019,8.6,Jersey,Gowtam Tinnanuri,"['Nani', 'Shraddha Srinath', 'Sathyaraj', 'Harish Kalyan']"
18,2012,7.2,Business Man,Puri Jagannadh,"['Mahesh Babu', 'Kajal Aggarwal', 'Prakash Raj', 'Ayesha Shiva']"
19,2019,8.4,Agent Sai Srinivasa Athreya,Swaroop Rsj,"['Naveen Polishetty', 'Shruti Sharma', 'Shredha Rajagopalan', 'Darbha Appaji Ambarisha']"
20,2017,6.6,Spyder,A.R. Murugadoss,"['Mahesh Babu', 'Rakul Preet Singh', 'S.J. Suryah', 'Bharath Srinivasan']"
21,2016,7.6,Nannaku Prematho,Sukumar,"['N.T. Rama Rao Jr.', 'Rakul Preet Singh', 'Jagapathi Babu', 'Rajendra Prasad']"
22,2021,8.0,Vakeel Saab,Venu Sriram,"['Pawan Kalyan', 'Nivetha Thomas', 'Anjali', 'Ananya Nagalla']"
23,2020,7.2,Ala Vaikunthapurramuloo,Trivikram Srinivas,"['Allu Arjun', 'Pooja Hegde', 'Tabu', 'Jayaram']"
24,2014,7.2,Race Gurram,Surender Reddy,"['Allu Arjun', 'Shruti Haasan', 'Shaam', 'Ravi Kishan']"
25,2006,8.2,Bommarillu,Bhaskar,"['Siddharth', ""Genelia D'Souza"", 'Prakash Raj', 'Kota Srinivasa Rao']"
26,2003,8.0,Okkadu,Gunasekhar,"['Mahesh Babu', 'Bhoomika Chawla', 'Prakash Raj', 'Joy Badlani']"
27,2013,7.3,Atharintiki Daaredi,Trivikram Srinivas,"['Pawan Kalyan', 'Samantha Akkineni', 'Pranitha', 'Boman Irani']"
28,2018,7.9,Goodachari,Sashi Kiran Tikka,"['Adivi Sesh', 'Sobhita Dhulipala', 'Jagapathi Babu', 'Prakash Raj']"
29,2010,7.6,Khaleja,Trivikram Srinivas,"['Mahesh Babu', 'Anushka Shetty', 'Prakash Raj', 'Brahmanandam']"
30,2010,8.1,Vedam,Radha Krishna Jagarlamudi,"['Manoj Kumar Manchu', 'Allu Arjun', 'Anushka Shetty', 'Manoj Bajpayee']"
31,2018,7.6,Aravindha Sametha Veera Raghava,Trivikram Srinivas,"['N.T. Rama Rao Jr.', 'Pooja Hegde', 'Jagapathi Babu', 'Naveen Chandra']"
32,2014,5.7,Yevadu,Vamshi Paidipally,"['Ram Charan', 'Allu Arjun', 'Shruti Haasan', 'Amy Jackson']"
33,2019,7.4,Sye Raa Narasimha Reddy,Surender Reddy,"['Chiranjeevi', 'Amitabh Bachchan', 'Sudeep', 'Vijay Sethupathi']"
34,2019,7.4,Dear Comrade,Bharat Kamma,"['Vijay Deverakonda', 'Rashmika Mandanna', 'Shruti Ramachandran', 'Suhas']"
35,2020,6.9,V,Mohana Krishna Indraganti,"['Nani', 'Sudheer Babu Posani', 'Nivetha Thomas', 'Aditi Rao Hydari']"
36,2019,7.3,Maharshi,Vamshi Paidipally,"['Mahesh Babu', 'Allari Naresh', 'Patricia Pinto', 'Pooja Hegde']"
37,2016,8.2,Pelli Choopulu,Tharun Bhascker Dhaassyam,"['Abhay Bethiganti', 'Keshav Deepak', 'Vijay Deverakonda', 'Anish Kuruvilla']"
38,2016,7.3,Janatha Garage,Koratala Siva,"['Mohanlal', 'N.T. Rama Rao Jr.', 'Samantha Akkineni', 'Nithya Menen']"
39,2016,7.8,Dhruva,Surender Reddy,"['Ram Charan', 'Arvind Swamy', 'Rakul Preet Singh', 'Olga Andrievskaya']"
40,2012,7.1,Gabbar Singh,Harish Shankar,"['Pawan Kalyan', 'Shruti Haasan', 'Abhimanyu Singh', 'Kota Srinivasa Rao']"
41,2015,7.4,Temper,Puri Jagannadh,"['N.T. Rama Rao Jr.', 'Kajal Aggarwal', 'Prakash Raj', 'Kota Srinivasa Rao']"
42,2018,6.8,Naa Peru Surya Na Illu India,Vakkantham Vamsi,"['Allu Arjun', 'Sam Nagar', 'Anu Emmanuel', 'Arjun Sarja']"
